# EDIT THIS FILE, THEN: python3 rename-scans.py
# Fill any ???? and correct anything marked CHECK. Blank the new_name to skip a file.
# Naming: <year>-<volume-slug>.pdf inside the existing author folder. Name the VOLUME, not the text.
current	new_folder	new_name	year_source	books_served
Nielsen, Rasmus/1845-propædeutiske-logik.pdf	Nielsen, Rasmus	1845-propaedeutiske-logik.pdf	in current filename - CHECK	nielsen/propaedeutiske-logik
Nielsen, Rasmus/1849-evangelietroen-modern-bevidsthed.pdf	Nielsen, Rasmus	1849-evangelietroen-bevidsthed.pdf	in current filename - CHECK	nielsen/evangelietroen-bevidsthed
Nielsen, Rasmus/1850-evangelietroen-theologien.pdf	Nielsen, Rasmus	1850-evangelietroen-theologien.pdf	in current filename - CHECK	nielsen/evangelietroen-theologien
Nielsen, Rasmus/1857phil-math.pdf	Nielsen, Rasmus	1857-philosophie-og-mathematik.pdf	in current filename - CHECK	nielsen/philosophie-og-mathematik
Nielsen, Rasmus/1864-grundideernes-logik.pdf	Nielsen, Rasmus	1864-grundideernes-logik.pdf	in current filename - CHECK	nielsen/grundideernes-logik
Nielsen, Rasmus/1868-om-hindringer.pdf	Nielsen, Rasmus	1868-om-hindringer.pdf	in current filename - CHECK	nielsen/om-hindringer
Brøchner, Hans/1868-problemet-tro-viden.pdf	Brøchner, Hans	1868-problemet-tro-viden.pdf	in current filename - CHECK	brochner/problemet-tro-viden
Brøchner, Hans/1869-om-det-religiøse.pdf	Brøchner, Hans	1869-det-religioese.pdf	in current filename - CHECK	brochner/det-religioese
Nielsen, Rasmus/1870-kort-begreb.pdf	Nielsen, Rasmus	1870-grundideernes-logik-kort-begreb.pdf	in current filename - CHECK	nielsen/grundideernes-logik-kort-begreb
Treschow, Niels/almindelig-logik-1813.pdf	Treschow, Niels	1813-almindelig-logik.pdf	in current filename - CHECK	treschow/almindelig-logik
Nielsen, Rasmus/Almindelig_videnskabslære_i_grundtræk.pdf	Nielsen, Rasmus	1880-videnskabslaere.pdf	confirmed by Hans	nielsen/videnskabslaere
Brøchner, Hans/Benedict_Spinoza.pdf	Brøchner, Hans	1857-spinoza.pdf	confirmed by Hans	brochner/spinoza
Møller, Poul Martin/efterladte-skrifter1.pdf	Møller, Poul Martin	1855-56-efterladte-skrifter-3udg-bd1-2.pdf	KB cover / title page	moller/students-eventyr
Møller, Poul Martin/efterladte-skrifter3.pdf	Møller, Poul Martin	1855-56-efterladte-skrifter-3udg-bd3-4.pdf	KB cover / title page	moller/affectation, moller/hvad-er-philosophie, moller/ironie, moller/ontologien
Møller, Poul Martin/efterladte-skrifter5.pdf	Møller, Poul Martin	1855-56-efterladte-skrifter-3udg-bd5-6.pdf	KB cover / title page	moller/moralphilosophi
Høffding, Harald/erindringer.pdf	Høffding, Harald	1928-erindringer.pdf	imprint verified: Gyldendal MCMXXVIII	hoeffding/erindringer
Brøchner, Hans/Et_Svar_til_Professor_R_Nielsen.pdf	Brøchner, Hans	1868-svar-nielsen.pdf	only year on title page - CHECK	brochner/svar-nielsen
Sibbern, Frederik/hegels-philosophie.pdf	Sibbern, Frederik	1838-bemaerkninger-hegels-philosophie.pdf	confirmed by Hans	sibbern/bemaerkninger
Høffding, Harald/kants-udviklingsgang.pdf	Høffding, Harald	1893-kontinuiteten-kants-udviklingsgang.pdf	KB cover / title page	hoeffding/kants-udvikling
Nielsen, Rasmus/Kierkegaards_Johannes_Climacus_og.pdf	Nielsen, Rasmus	1849-johannesclimacos.pdf	only year on title page - CHECK	nielsen/johannesclimacos
Brøchner, Hans/koch-bidrag.pdf	Brøchner, Hans	2016-koch-broechners-bidrag-kierkegaard-receptionen.pdf	copyright page: (c) 2016 Kgl. Danske Videnskabernes Selskab	brochner/kierkegaard-virksomhed
Brandes, Georg/levned.pdf	Brandes, Georg	1905-levned-bd1.pdf	KB cover / title page	brandes/levned, brochner/brandes-levned
Nielsen, Rasmus/Logik-1867.pdf	Nielsen, Rasmus	1867-logik-og-psychologie.pdf	in current filename - CHECK	nielsen/logik-og-psychologie
Sibbern, Frederik/logik.pdf	Sibbern, Frederik	1827-logik-som-taenkelaere.pdf	KB cover / title page	sibbern/logikens-elementer
Høffding, Harald/mindesmaerkerafd03ande.pdf	Høffding, Harald	1910-udvalgte-stykker-dansk-filosofisk-litteratur.pdf	title identified by Hans; year from title page (OCR reads 19*10)	hoeffding/udvalgte-stykker
Høffding, Harald/mindre-arbejder.pdf	Høffding, Harald	1899-1913-mindre-arbejder-bd1.pdf	KB cover / title page	hoeffding/forholdet-tro-viden, hoeffding/realisme
Treschow, Niels/om-den-menneskelige-natur-1812.pdf	Treschow, Niels	1812-menneskelige-natur.pdf	in current filename - CHECK	treschow/menneskelige-natur
Treschow, Niels/om-gud-idee-og-sandseverdenen-1-1831.pdf	Treschow, Niels	1831-om-gud.pdf	in current filename - CHECK	treschow/om-gud
Nielsen, Rasmus/om-personlig-sandhed.pdf	Nielsen, Rasmus	1854-om-personlig-sandhed.pdf	only year on title page - CHECK	nielsen/om-personlig-sandhed
Sibbern, Frederik/om-philosophiens-begreb.pdf	Sibbern, Frederik	1843-philosophiens-begreb.pdf	only year on title page - CHECK	sibbern/philosophiens-begreb
Sibbern, Frederik/Om_elskov_eller_Kjærlighed_imellem_mand.pdf	Sibbern, Frederik	1858-om-elskov.pdf	only year on title page - CHECK	sibbern/om-elskov
Sibbern, Frederik/Om_Erkjendelse_og_Granskning.pdf	Sibbern, Frederik	1822-erkjendelse.pdf	confirmed by Hans	sibbern/erkjendelse
Nielsen, Rasmus/Om_S_Kierkegaards_mentale_tilstand.pdf	Nielsen, Rasmus	1858-mentale-tilstand.pdf	confirmed by Hans	nielsen/mentale-tilstand
Nielsen, Rasmus/oprindelige-forhold.pdf	Nielsen, Rasmus	1881-om-oprindelige-forhold.pdf	confirmed by Hans	nielsen/om-oprindelige-forhold
Brøchner, Hans/philosophiens-historie.pdf	Brøchner, Hans	1873-1874-philosophiens-historie.pdf	KB cover / title page	brochner/philosophiens-historie-1, brochner/philosophiens-historie-2
Nielsen, Rasmus/philosophiske-grundproblemer-color.pdf	Nielsen, Rasmus	1879-philosophiske-grundproblemer.pdf	confirmed by Hans	nielsen/philosophiske-grundproblemer
Nielsen, Rasmus/PPG-1857.pdf	Nielsen, Rasmus	1857-philosophisk-propaedeutik.pdf	in current filename - CHECK	nielsen/philosophisk-propaedeutik
